Nombre,Ultima,Max,Min,Hora/Fecha
Acciona,204.14,207.59,200.51,28/01/25
Acciona,203.65,207.08,200.02,28/02/25
Acciona,217.16,220.82,213.29,28/03/25
Acciona,206.62,210.1,202.94,28/04/25
Acciona,215.07,218.7,211.24,28/05/25
Acciona,220.07,223.78,216.15,28/06/25
Acciona,207.98,211.49,204.28,28/07/25
Acciona,214.92,218.55,211.09,28/08/25
Acciona,204.46,207.91,200.82,28/09/25
Acciona,221.64,225.38,217.7,28/10/25
Acciona,206.23,209.71,202.56,28/11/25
Acciona,216.95,220.61,213.09,28/12/25
Acciona Ener,19.66,20.62,19.56,28/01/25
Acciona Ener,19.89,20.87,19.79,28/02/25
Acciona Ener,19.67,20.63,19.57,28/03/25
Acciona Ener,20.96,21.99,20.86,28/04/25
Acciona Ener,20.62,21.64,20.52,28/05/25
Acciona Ener,20.13,21.11,20.03,28/06/25
Acciona Ener,19.95,20.93,19.85,28/07/25
Acciona Ener,21.1,22.14,21.0,28/08/25
Acciona Ener,20.64,21.65,20.54,28/09/25
Acciona Ener,20.08,21.06,19.98,28/10/25
Acciona Ener,20.72,21.73,20.61,28/11/25
Acciona Ener,21.35,22.39,21.24,28/12/25
Acerinox,12.02,12.22,11.92,28/01/25
Acerinox,11.7,11.9,11.6,28/02/25
Acerinox,12.38,12.59,12.28,28/03/25
Acerinox,12.57,12.79,12.47,28/04/25
Acerinox,12.24,12.45,12.14,28/05/25
Acerinox,12.64,12.86,12.54,28/06/25
Acerinox,12.87,13.09,12.76,28/07/25
Acerinox,12.2,12.41,12.1,28/08/25
Acerinox,12.8,13.02,12.7,28/09/25
Acerinox,11.96,12.16,11.86,28/10/25
Acerinox,11.85,12.05,11.75,28/11/25
Acerinox,12.65,12.87,12.55,28/12/25
ACS,97.82,100.01,96.29,28/01/25
ACS,100.22,102.47,98.66,28/02/25
ACS,98.59,100.8,97.05,28/03/25
ACS,103.75,106.08,102.13,28/04/25
ACS,99.89,102.14,98.33,28/05/25
ACS,99.06,101.28,97.51,28/06/25
ACS,106.59,108.98,104.92,28/07/25
ACS,105.64,108.02,104.0,28/08/25
ACS,99.99,102.24,98.43,28/09/25
ACS,103.03,105.35,101.43,28/10/25
ACS,105.18,107.54,103.54,28/11/25
ACS,104.41,106.75,102.78,28/12/25
Aena,26.51,26.6,26.24,28/01/25
Aena,26.49,26.58,26.22,28/02/25
Aena,25.08,25.17,24.83,28/03/25
Aena,26.37,26.46,26.1,28/04/25
Aena,25.9,25.99,25.64,28/05/25
Aena,26.15,26.24,25.88,28/06/25
Aena,26.2,26.29,25.93,28/07/25
Aena,26.0,26.09,25.73,28/08/25
Aena,25.82,25.91,25.56,28/09/25
Aena,25.06,25.15,24.8,28/10/25
Aena,26.31,26.4,26.04,28/11/25
Aena,24.75,24.84,24.5,28/12/25
Amadeus,47.12,48.73,46.83,28/01/25
Amadeus,50.28,52.0,49.97,28/02/25
Amadeus,48.53,50.18,48.23,28/03/25
Amadeus,46.97,48.58,46.68,28/04/25
Amadeus,49.22,50.9,48.91,28/05/25
Amadeus,49.35,51.03,49.04,28/06/25
Amadeus,48.79,50.45,48.49,28/07/25
Amadeus,48.08,49.72,47.78,28/08/25
Amadeus,48.11,49.75,47.81,28/09/25
Amadeus,47.57,49.2,47.28,28/10/25
Amadeus,47.79,49.42,47.49,28/11/25
Amadeus,47.18,48.79,46.89,28/12/25
ArcelorMittal,43.03,44.29,42.55,28/01/25
ArcelorMittal,42.51,43.75,42.03,28/02/25
ArcelorMittal,45.11,46.43,44.6,28/03/25
ArcelorMittal,45.32,46.64,44.81,28/04/25
ArcelorMittal,45.55,46.88,45.04,28/05/25
ArcelorMittal,42.48,43.72,42.0,28/06/25
ArcelorMittal,41.99,43.22,41.52,28/07/25
ArcelorMittal,42.11,43.34,41.63,28/08/25
ArcelorMittal,44.08,45.37,43.59,28/09/25
ArcelorMittal,44.91,46.22,44.4,28/10/25
ArcelorMittal,45.36,46.68,44.84,28/11/25
ArcelorMittal,43.31,44.57,42.82,28/12/25
B. Sabadell,2.93,2.99,2.93,28/01/25
B. Sabadell,3.05,3.12,3.04,28/02/25
B. Sabadell,2.96,3.02,2.95,28/03/25
B. Sabadell,3.16,3.23,3.15,28/04/25
B. Sabadell,3.16,3.23,3.15,28/05/25
B. Sabadell,3.07,3.13,3.06,28/06/25
B. Sabadell,3.04,3.1,3.03,28/07/25
B. Sabadell,3.08,3.14,3.07,28/08/25
B. Sabadell,2.89,2.95,2.88,28/09/25
B. Sabadell,3.06,3.12,3.05,28/10/25
B. Sabadell,2.96,3.02,2.95,28/11/25
B. Sabadell,2.89,2.94,2.88,28/12/25
Bankinter,13.54,13.78,13.45,28/01/25
Bankinter,12.77,12.99,12.68,28/02/25
Bankinter,13.05,13.28,12.97,28/03/25
Bankinter,13.25,13.48,13.16,28/04/25
Bankinter,13.39,13.62,13.3,28/05/25
Bankinter,13.06,13.28,12.97,28/06/25
Bankinter,13.75,13.99,13.66,28/07/25
Bankinter,13.78,14.02,13.69,28/08/25
Bankinter,13.13,13.35,13.04,28/09/25
Bankinter,12.87,13.09,12.78,28/10/25
Bankinter,13.82,14.05,13.72,28/11/25
Bankinter,13.46,13.69,13.37,28/12/25
BBVA,17.57,18.06,17.48,28/01/25
BBVA,17.03,17.51,16.94,28/02/25
BBVA,17.58,18.07,17.49,28/03/25
BBVA,18.7,19.22,18.61,28/04/25
BBVA,18.38,18.89,18.28,28/05/25
BBVA,18.35,18.86,18.26,28/06/25
BBVA,17.16,17.64,17.08,28/07/25
BBVA,17.02,17.5,16.93,28/08/25
BBVA,18.27,18.78,18.18,28/09/25
BBVA,18.31,18.82,18.22,28/10/25
BBVA,17.35,17.83,17.26,28/11/25
BBVA,17.18,17.65,17.09,28/12/25
CaixaBank,9.73,9.94,9.7,28/01/25
CaixaBank,9.66,9.87,9.63,28/02/25
CaixaBank,10.24,10.47,10.21,28/03/25
CaixaBank,10.04,10.26,10.01,28/04/25
CaixaBank,10.32,10.55,10.29,28/05/25
CaixaBank,10.48,10.71,10.45,28/06/25
CaixaBank,9.68,9.89,9.65,28/07/25
CaixaBank,9.59,9.8,9.56,28/08/25
CaixaBank,9.7,9.91,9.67,28/09/25
CaixaBank,10.38,10.61,10.35,28/10/25
CaixaBank,9.99,10.2,9.96,28/11/25
CaixaBank,9.59,9.8,9.56,28/12/25
Cellnex Telecom,26.03,26.03,25.52,28/01/25
Cellnex Telecom,26.2,26.2,25.7,28/02/25
Cellnex Telecom,26.85,26.85,26.33,28/03/25
Cellnex Telecom,26.09,26.09,25.58,28/04/25
Cellnex Telecom,26.9,26.9,26.39,28/05/25
Cellnex Telecom,27.46,27.46,26.93,28/06/25
Cellnex Telecom,27.67,27.67,27.14,28/07/25
